,Rank,State,Coli_Index,Grocery,Housing,Utilities,Transportation,Health_meric,Misc
0,1,Mississippi,83.3,92.2,66.3,90.4,86.7,94.7,90.9
1,2,Kansas,86.5,91.7,72.6,100.2,97.3,100.4,88.4
2,3,Alabama,87.9,98.2,70.1,100.7,92.7,91.2,94.3
3,4,Oklahoma,87.9,94.5,74.7,95.1,94.8,94.5,92.6
4,5,Georgia,88.8,95.9,74.4,90.5,92.6,96.7,97.1
5,6,Tennessee,89.0,94.7,79.3,92.5,88.8,91.2,94.2
6,7,Missouri,89.8,95.0,80.3,95.4,92.4,94.6,93.3
7,8,Iowa,89.9,98.4,76.0,94.9,97.7,99.9,94.2
8,9,West Virginia,90.5,96.5,78.6,89.4,92.2,88.1,99.7
9,10,Indiana,90.6,92.7,78.3,99.0,98.3,94.6,96.8
10,11,Arkansas,90.9,93.1,79.1,92.3,92.3,84.9,102.1
11,12,New Mexico,91.0,95.5,84.3,89.6,98.1,98.7,92.9
12,13,Ohio,91.3,99.2,76.5,92.0,98.6,97.2,99.1
13,14,Michigan,91.3,90.1,80.7,99.7,103.2,96.3,96.3
14,15,Texas,92.1,90.8,83.8,103.2,94.1,95.2,96.8
15,16,Louisiana,93.0,96.8,86.0,87.0,96.5,99.4,98.2
16,17,Kentucky,93.1,92.1,79.9,104.7,103.0,81.6,102.6
17,18,South Carolina,93.6,99.5,79.6,105.2,95.2,95.7,99.9
18,19,Nebraska,93.7,98.6,86.6,89.3,100.2,100.8,97.0
19,20,Illinois,94.3,98.4,86.6,96.5,105.8,96.5,95.8
20,21,Wyoming,94.3,102.7,81.3,85.2,99.9,99.8,104.0
21,22,North Carolina,95.7,97.6,88.6,97.7,92.8,109.0,100.1
22,23,Wisconsin,96.4,99.5,88.4,99.4,99.5,111.9,98.6
23,24,North Dakota,98.2,101.0,95.4,95.2,104.2,113.3,96.7
24,25,Utah,99.0,97.3,98.4,90.9,109.9,93.9,101.2
25,26,Minnesota,100.0,103.9,90.2,96.5,99.4,106.9,108.4
26,27,Florida,100.3,105.6,99.0,105.3,98.8,97.7,97.7
27,28,Montana,100.7,103.4,106.3,88.0,94.7,100.9,99.1
28,29,South Dakota,101.0,102.1,112.8,91.8,89.7,97.4,94.6
29,30,Virginia,101.8,95.2,111.5,96.7,90.4,100.9,100.4
30,31,Idaho,102.1,93.8,110.4,82.3,111.7,102.8,102.7
31,32,Pennsylvania,102.5,107.8,98.0,109.7,105.6,95.4,102.0
32,33,Arizona,103.2,101.5,107.7,104.8,98.8,97.9,100.9
33,34,Colorado,105.3,98.1,116.4,88.4,105.6,97.9,104.6
34,35,Nevada,106.3,107.0,117.9,88.4,119.7,101.2,97.3
35,36,Delaware,107.9,114.0,103.1,96.5,113.0,106.5,112.3
36,37,New Hampshire,109.9,103.6,108.1,113.6,97.2,115.8,116.4
37,38,Washington,111.6,108.4,119.0,90.8,117.4,121.2,109.8
38,39,Maine,115.0,102.2,136.6,102.3,104.6,112.8,107.3
39,40,New Jersey,115.2,107.3,136.6,104.6,105.5,97.2,106.3
40,41,Vermont,117.0,109.2,136.2,119.0,114.2,99.3,104.3
41,42,Rhode Island,117.2,107.7,121.7,127.6,107.6,105.8,118.6
42,43,Connecticut,121.6,106.4,134.6,132.4,111.1,111.3,117.5
43,44,Maryland,124.0,110.4,165.9,105.1,107.6,82.8,105.2
44,45,Alaska,127.1,134.5,126.9,154.8,109.9,154.2,114.0
45,46,Oregon,130.1,107.8,172.6,90.2,125.9,115.7,115.6
46,47,Massachusetts,135.0,119.3,177.6,111.1,111.3,118.8,116.5
47,48,California,142.2,113.7,201.9,124.3,131.7,110.7,110.3
48,49,New York,148.2,118.4,230.1,99.8,108.7,102.5,113.7
49,50,District of Columbia,158.1,110.7,256.9,109.6,103.8,90.8,123.3
50,51,Hawaii,193.3,152.9,315.0,164.2,133.7,115.3,126.7
51,USÂ ,***,100.0,100.0,100.0,100.0,100.0,100.0,100.0
